Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris - Euronext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument's name,ISIN,Euronext code,Market,Symbol,ICB Sector (Level 4),Trading currency,Last,Volume,D/D-1 (%),Date - time (CET),Turnover,Total number of shares,Capitalisation,Compartment,Investment zone,Eligibility,Trading mode,Day First,Day High,Day High / Date - time (CET),Day Low,Day Low / Date - time (CET), 31-12/Change (%), 31-12/High, 31-12/High/Date, 31-12/Low, 31-12/Low/Date, 52 weeks/Change (%), 52 weeks/High, 52 weeks/High/Date, 52 weeks/Low, 52 weeks/Low/Date,Website,Investor relation contact,Phone number,ICB Sector (Level 1),ICB Sector (Level 2),ICB Sector (Level 3),Personal equity saving plan eligibility,Deferred Settlement Service,Halted,Halted / Date - time (CET)
CATERPILLAR INC,US1491231015,US1491231015,PAR,CATR,2753 Commercial Vehicles & Trucks,EUR,70,30,-2.79,2009/12/11 17:01,2094,"814,894,624","57,042,623,680",null,International zone (out of Euro)  ,,Continuous,69.62,70,2009/12/11 17:01,69.62,2009/12/11 16:17,-1.41,83.18,2004/5/11,52,2005/10/11,2.94,83.18,2004/5/11,52,2005/10/11,"=LIEN_HYPERTEXTE(""http://www.cat.com"";""http://www.cat.com"")",-,-,2000 Industrials,2700 Industrial Goods & Services,2750 Industrial Engineering,No,No,-,-
CCA INTERNATIONAL,FR0000078339,FR0000078339,PAR,CCA,5555 Media Agencies,EUR,3.88,10,0,2007/12/11 11:30,39,"7,360,272","28,557,855",Compartment C (Small Caps),French zone  ,PEA eligible,Double call auction,3.88,3.88,2007/12/11 11:30,3.88,2007/12/11 11:30,-10.6,4.75,2001/3/11,2.88,2024/1/11,-2.76,4.75,2001/3/11,1.95,2009/12/10,"=LIEN_HYPERTEXTE(""http://www.clientcenteralliance.com"";""http://www.clientcenteralliance.com"")",CISMARESCO Jean Pierre,01 40 93 76 51,5000 Consumer Services,5500 Media,5550 Media,Yes,No,-,-
CEGEDIM,FR0000053506,FR0000053506,PAR,CGM,9533 Computer Services,EUR,16.74,2186,0.12,2009/12/11 17:35,36779,"13,997,173","234,312,676",Compartment B (Mid Caps),French zone  ,PEA eligible,Continuous,16.98,16.98,2009/12/11 9:00,16.57,2009/12/11 16:55,-59.29,49.8,2006/4/11,13.5,2023/11/11,-61.08,49.8,2006/4/11,13.5,2023/11/11,"=LIEN_HYPERTEXTE(""http://www.cegedim.fr"";""http://www.cegedim.fr"")",Jan Eryk Umiastowski,+33 (0)1 49 09 22 00,9000 Technology,9500 Technology,9530 Software & Computer Services,Yes,No,-,-
CEGEREAL,FR0010309096,FR0010309096,PAR,CGR,8671 Industrial & Office REITs,EUR,15.3,429,2.68,2009/12/11 13:24,6470,"13,372,500","204,599,250",Compartment B (Mid Caps),French zone  ,PEA eligible,Continuous,14.8,15.3,2009/12/11 13:24,14.8,2009/12/11 9:00,-31.08,25.65,2007/7/11,14.8,2009/11/11,-32.18,25.65,2007/7/11,14.8,2009/11/11,"=LIEN_HYPERTEXTE(""http://www.cegereal.com"";""http://www.cegereal.com"")",-,-,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
CEGID GROUP,FR0000124703,FR0000124703,PAR,CGD,9537 Software,EUR,16,3270,-0.56,2009/12/11 17:35,52439,"9,233,057","147,728,912",Compartment B (Mid Caps),French zone  ,PEA eligible,Continuous,16.09,16.18,2009/12/11 12:50,16,2009/12/11 15:39,-29.36,24,2010/1/11,12.55,2023/11/11,-27.93,24,2010/1/11,12.55,2023/11/11,"=LIEN_HYPERTEXTE(""http://www.cegid.fr"";""http://www.cegid.fr"")",Patrick BERTRAND,426295020,9000 Technology,9500 Technology,9530 Software & Computer Services,Yes,No,-,-
CESAR BSAR,FR0010876813,FR0010876813,PAR,CSABS,3747 Toys,EUR,0.035,42350,-2.78,2028/7/11 15:01,1535,"14,161,342","495,647",null,French zone  ,PEA eligible,Continuous,0.04,0.041,2028/7/11 11:48,0.032,2028/7/11 11:03,-46.15,0.087,2024/1/11,0.03,2022/7/11,-38.6,0.09,2024/1/11,0.03,2022/7/11,-,-,-,3000 ConsumerGoods,3700 Personal,3740 Leisure Goods,Yes,No,Halted,2029/7/11
CFAO,FR0000060501,FR0000060501,PAR,CFAO,5379 Specialty Retailers,EUR,26.005,23073,-0.42,2009/12/11 17:35,599579,"61,525,860","1,599,979,989",Compartment A (Large Caps),French zone  ,SRD and PEA eligible,Continuous,26,26.005,2009/12/11 17:35,25.84,2009/12/11 17:29,-20.16,33.5,2005/1/11,23.6,2025/11/11,-22.4,33.69,2009/12/10,23.6,2025/11/11,"=LIEN_HYPERTEXTE(""http://www.cfaogroup.com"";""http://www.cfaogroup.com"")",-,-,5000 Consumer Services,5300 Retail,5370 General Retailers,Yes,Yes,-,-
CFCAL BANQUE,FR0000064560,FR0000064560,PAR,CFCL,8779 Mortgage Finance,EUR,57.99,1,0,2009/12/11 11:30,58,"3,660,850","212,292,692",Compartment B (Mid Caps),French zone  ,PEA eligible,Double call auction,57.99,57.99,2009/12/11 11:30,57.99,2009/12/11 11:30,-3.29,62.73,2020/9/11,54.2,2017/2/11,-2.54,62.73,2020/9/11,54.2,2017/2/11,"=LIEN_HYPERTEXTE(""http://www.cfcal-banque.fr"";""http://www.cfcal-banque.fr"")",-,-,8000 Financials,8700 Financial Services,8770 Financial Services,Yes,No,-,-
CFI,FR0000037475,FR0000037475,PAR,CFI,8633 Real Estate Holding & Development,EUR,44.5,2,0,2009/12/11 16:30,89,"854,224","38,012,968",Compartment C (Small Caps),French zone  ,PEA eligible,Double call auction,44.5,44.5,2009/12/11 11:30,44.5,2009/12/11 11:30,8.54,52.5,2016/6/11,40,2027/1/11,11.22,52.5,2016/6/11,40,2027/1/11,"=LIEN_HYPERTEXTE(""http://www.didot-bottin.fr"";""http://www.didot-bottin.fr"")",-,-,8000 Financials,8600 Real Estate,8630 Real Estate Investment & Services,Yes,No,-,-
CGG VERITAS,FR0000120164,FR0000120164,PAR,GA,0573 Oil Equipment & Services,EUR,17.51,1044872,3.4,2009/12/11 17:35,18016582,"151,861,932","2,659,102,429",Compartment A (Large Caps),French zone  ,SRD and PEA eligible,Continuous,16.715,17.78,2009/12/11 13:22,16.585,2009/12/11 9:03,-23.12,27.785,2001/3/11,11.43,2004/10/11,-16.3,27.79,2001/3/11,11.43,2004/10/11,"=LIEN_HYPERTEXTE(""http://www.cggveritas.com"";""http://www.cggveritas.com"")",Hanoune,01 64 47 38 31,0001 Oil&Gas,0500 Oil & Gas,"0570 Oil Equipment, Services & Distribution",Yes,Yes,-,-
CHARGEURS,FR0000130692,FR0000130692,PAR,CRI,3763 Clothing & Accessories,EUR,3.6,25549,0.28,2009/12/11 17:35,91111,"13,120,338","47,233,217",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,3.55,3.67,2009/12/11 9:08,3.48,2009/12/11 9:03,-23.24,6.17,2007/4/11,3.08,2023/11/11,-20.35,6.17,2007/4/11,3.08,2023/11/11,"=LIEN_HYPERTEXTE(""http://www.chargeurs.fr"";""http://www.chargeurs.fr"")",Hortense Amaro,01 71 72 33 56,3000 ConsumerGoods,3700 Personal,3760 Personal Goods,Yes,No,-,-
CHAUF.URB.,FR0000052896,FR0000052896,PAR,CHAU,7577 Water ,EUR,98,25,0,2006/12/11 11:30,2450,"1,725,320","169,081,360",Compartment B (Mid Caps),French zone  ,PEA eligible,Double call auction,98,98,2006/12/11 11:30,98,2006/12/11 11:30,7.63,107,2011/5/11,73.9,2009/11/11,12,107,2011/5/11,73.9,2009/11/11,"=LIEN_HYPERTEXTE(""http://www.cpcu.fr"";""http://www.cpcu.fr"")",-,-,7000 Utilities,7500 Utilities,"7570 Gas, Water & Multiutilities",Yes,No,-,-
CHAUSSERIA,FR0000060907,FR0000060907,PAR,CHSR,3765 Footwear,EUR,13.5,2,-6.9,1930/11/11 11:30,27,"480,146","6,481,971",Compartment C (Small Caps),French zone  ,PEA eligible,Double call auction,13.5,13.5,1930/11/11 11:30,13.5,1930/11/11 11:30,-15.57,16,2025/5/11,13.5,1930/11/11,-11.18,16,2025/5/11,13.5,1930/11/11,"=LIEN_HYPERTEXTE(""http://www.lachausseria.com"";""http://www.lachausseria.com"")",-,-,3000 ConsumerGoods,3700 Personal,3760 Personal Goods,Yes,No,-,-
CHRISTIAN DIOR,FR0000130403,FR0000130403,PAR,CDI,3763 Clothing & Accessories,EUR,94.8,204093,2.1,2009/12/11 17:35,19180810,"181,727,048","17,227,724,150",Compartment A (Large Caps),French zone  ,SRD and PEA eligible,Continuous,92.17,94.8,2009/12/11 17:35,92.17,2009/12/11 9:00,-11.32,116.3,2027/7/11,79.1,2004/10/11,-14.63,116.3,2027/7/11,79.1,2004/10/11,"=LIEN_HYPERTEXTE(""http://www.dior-finance.com"";""http://www.dior-finance.com"")",OLLIVIER Florian,144134277,3000 ConsumerGoods,3700 Personal,3760 Personal Goods,Yes,Yes,-,-
CIBOX INTER A CTIV,FR0000054322,FR0000054322,PAR,CIB,9572 Computer Hardware,EUR,0.07,874653,0,2009/12/11 17:24,61255,"99,150,792","6,940,555",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,0.07,0.08,2009/12/11 12:05,0.07,2009/12/11 9:00,-30,0.17,2004/5/11,0.06,2006/12/11,-36.36,0.17,2004/5/11,0.06,2006/12/11,"=LIEN_HYPERTEXTE(""http://www.ciboxcorp.com"";""http://www.ciboxcorp.com"")",Meerzoumen Michael,01.69.77.88.24,9000 Technology,9500 Technology,9570 Technology Hardware & Equipment,Yes,No,-,-
CIC,FR0005025004,FR0005025004,PAR,CC,8355 Banks,EUR,100.5,349,-0.98,2009/12/11 17:35,35330,"38,027,493","3,821,763,047",Compartment A (Large Caps),French zone  ,PEA eligible,Continuous,101.39,101.51,2009/12/11 9:28,100.5,2009/12/11 15:32,-24.43,160,2021/2/11,88,2022/11/11,-24.24,160,2021/2/11,88,2022/11/11,"=LIEN_HYPERTEXTE(""http://www.cic-banques.fr"";""http://www.cic-banques.fr"")",BRESSAN,01 45 96 81 90,8000 Financials,8300 Banks,8350 Banks,Yes,No,-,-
CIE ALPES NV11,FR0011119742,FR0011119742,PAR,CDANV,5755 Recreational Services,EUR,0,0,-,-,0,1,0,Compartment B (Mid Caps),French zone  ,PEA eligible,Double call auction,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,-,-,-,5000 Consumer Services,5700 Travel & Leisure,5750 Travel & Leisure,Yes,No,-,-
CIE MAROCAINE,FR0000030611,FR0000030611,PAR,CIEM,8985 Equity Investment Instruments,EUR,9.88,5,-0.2,2009/12/11 16:30,49,"224,000","2,213,120",Compartment C (Small Caps),French zone  ,PEA eligible,Double call auction,9.88,9.88,2009/12/11 16:30,9.88,2009/12/11 16:30,-17.53,13,2014/1/11,7.54,2023/11/11,-17.67,13,2014/1/11,7.54,2023/11/11,-,-,-,8000 Financials,8900 Equity/NonEquity Investment Instruments,8980 Equity Investment Instruments,Yes,No,-,-
CIMENTS FRANCAIS,FR0000120982,FR0000120982,PAR,CMA,2353 Building Materials & Fixtures,EUR,59.7,15579,1,2009/12/11 17:35,927154,"35,778,576","2,135,980,987",Compartment A (Large Caps),French zone  ,SRD and PEA eligible,Continuous,59.11,59.9,2009/12/11 11:20,58.82,2009/12/11 14:40,-17.66,77.49,2022/7/11,53.42,2013/9/11,-12.39,77.49,2022/7/11,53.42,2013/9/11,"=LIEN_HYPERTEXTE(""http://www.cimfra.com"";""http://www.cimfra.com"")",Lupotto,33 1 42 91 76 76,2000 Industrials,2300 Construction & Materials,2350 Construction & Materials,Yes,Yes,-,-
CLIFFS,US18683K1016,US18683K1016,PAR,CLF,1757 Iron & Steel,EUR,53.5,2,-1.83,2009/12/11 11:11,107,"149,195,469","7,981,957,592",null,International zone (out of Euro)  ,,Continuous,53.5,53.5,2009/12/11 11:11,53.5,2009/12/11 11:11,-9.32,79.79,2018/2/11,34.79,2004/10/11,-1.83,79.79,2018/2/11,34.79,2004/10/11,"=LIEN_HYPERTEXTE(""http://www.cliffsnaturalresources.com"";""http://www.cliffsnaturalresources.com"")",Steven R.Baisden,(216) 694-5280,1000 BasicMaterials,1700 Basic Resources,1750 Industrial Metals & Mining,No,No,-,-
CLUB MEDITERRANEE,FR0000121568,FR0000121568,PAR,CU,5753 Hotels,EUR,12.695,270893,6.46,2009/12/11 17:35,3018172,"30,250,076","384,024,715",Compartment B (Mid Caps),French zone  ,SRD and PEA eligible,Continuous,11.86,12.75,2009/12/11 17:26,11.51,2009/12/11 9:04,-17.86,18.39,2010/2/11,10.245,2023/11/11,-7.71,18.39,2010/2/11,10.25,2023/11/11,"=LIEN_HYPERTEXTE(""http://www.clubmed.com"";""http://www.clubmed.com"")",Bruel,153353075,5000 Consumer Services,5700 Travel & Leisure,5750 Travel & Leisure,Yes,Yes,-,-
CNIM CONSTR.FRF 10,FR0000053399,FR0000053399,PAR,COM,2357 Heavy Construction,EUR,58,61,-0.87,2009/12/11 14:16,3538,"3,028,110","175,630,380",Compartment B (Mid Caps),French zone  ,PEA eligible,Continuous,58.01,58.01,2009/12/11 9:00,58,2009/12/11 14:16,-10.22,75.5,2008/6/11,51.5,2006/10/11,-9.38,75.5,2008/6/11,51.5,2006/10/11,"=LIEN_HYPERTEXTE(""http://www.cnim.fr"";""http://www.cnim.fr"")",-,-,2000 Industrials,2300 Construction & Materials,2350 Construction & Materials,Yes,No,-,-
CNP ASSURANCES,FR0000120222,FR0000120222,PAR,CNP,8575 Life Insurance,EUR,10.12,129190,0.75,2009/12/11 17:35,1313938,"594,151,292","6,012,811,075",Compartment A (Large Caps),French zone  ,SRD and PEA eligible,Continuous,10,10.3,2009/12/11 13:25,10,2009/12/11 9:00,-25.06,17.19,2008/2/11,8.965,2025/11/11,-23.82,17.19,2008/2/11,8.97,2025/11/11,"=LIEN_HYPERTEXTE(""http://www.cnp.fr"";""http://www.cnp.fr"")",-,-,8000 Financials,8500 Insurance,8570 Life Insurance,Yes,Yes,-,-
COCA-COLA ENTER,US19122T1097,US19122T1097,PAR,CCE,3537 Soft Drinks,EUR,19.87,64,1.79,2008/12/11 14:01,1271,"340,763,680","6,770,974,322",null,International zone (out of Euro)  ,,Continuous,19.85,19.87,2008/12/11 14:01,19.85,2008/12/11 9:19,-9.68,22.8,2024/5/11,16.51,2008/8/11,-9.68,22.8,2024/5/11,16.51,2008/8/11,"=LIEN_HYPERTEXTE(""http://www.cokecce.com"";""http://www.cokecce.com"")",-,-,3000 ConsumerGoods,3500 Food & Beverage,3530 Beverages,No,No,-,-
COFITEM-COFIMUR,FR0000034431,FR0000034431,PAR,CFTM,8633 Real Estate Holding & Development,EUR,84,261,0.24,2009/12/11 14:59,22089,"4,288,169","360,206,196",Compartment B (Mid Caps),French zone  ,PEA eligible,Continuous,83.8,85,2009/12/11 11:24,83.8,2009/12/11 9:00,-4.55,99,2007/4/11,78.5,2009/8/11,2.43,99,2007/4/11,78.5,2009/8/11,"=LIEN_HYPERTEXTE(""http://www.cofitem-cofimur.fr"";""http://www.cofitem-cofimur.fr"")",-,-,8000 Financials,8600 Real Estate,8630 Real Estate Investment & Services,Yes,No,-,-
COHERIS,FR0004031763,FR0004031763,PAR,COH,9537 Software,EUR,2.38,1323,0,2009/12/11 17:03,3084,"5,613,075","13,359,119",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,2.33,2.38,2009/12/11 14:39,2.32,2009/12/11 9:38,-17.36,3.45,2008/3/11,2,2015/9/11,-19.87,3.45,2008/3/11,2,2015/9/11,"=LIEN_HYPERTEXTE(""http://www.coheris.com"";""http://www.coheris.com"")",Coheris - Informations Financières,+33 1 57 32 60 60,9000 Technology,9500 Technology,9530 Software & Computer Services,Yes,No,-,-
COLAS,FR0000121634,FR0000121634,PAR,RE,2357 Heavy Construction,EUR,105,179,1.05,2009/12/11 17:35,18732,"32,654,499","3,428,722,395",Compartment A (Large Caps),French zone  ,PEA eligible,Continuous,103.7,105.01,2009/12/11 17:23,103.7,2009/12/11 12:11,-27.56,169,2012/4/11,99.54,2001/12/11,-23.44,169,2012/4/11,99.54,2001/12/11,"=LIEN_HYPERTEXTE(""http://www.colas.com"";""http://www.colas.com"")",-,-,2000 Industrials,2300 Construction & Materials,2350 Construction & Materials,Yes,No,-,-
COTTIN FRERES,FR0000071854,FR0000071854,PAR,COTT,3535 Distillers & Vintners,EUR,5.15,2400,3.21,2009/12/11 17:25,12211,"2,247,420","11,574,213",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,4.99,5.19,2009/12/11 16:40,4.99,2009/12/11 9:00,8.58,9.18,2003/5/11,3.78,2009/8/11,51.25,9.18,2003/5/11,3.18,2020/12/10,"=LIEN_HYPERTEXTE(""http://www.cottin-freres.com"";""http://www.cottin-freres.com"")",-,-,3000 ConsumerGoods,3500 Food & Beverage,3530 Beverages,Yes,No,-,-
COURTOIS,FR0000065393,FR0000065393,PAR,COUR,8633 Real Estate Holding & Development,EUR,89.5,75,1.7,2009/12/11 16:30,6713,"72,780","6,513,810",Compartment C (Small Caps),French zone  ,PEA eligible,Double call auction,89.5,89.5,2009/12/11 11:30,89.5,2009/12/11 11:30,-4.8,145,2023/3/11,88,2008/12/11,-5.79,145,2023/3/11,88,2008/12/11,"=LIEN_HYPERTEXTE(""http://www.courtois-sa.com"";""http://www.courtois-sa.com"")",Courtois de Viçose,562267322,8000 Financials,8600 Real Estate,8630 Real Estate Investment & Services,Yes,No,-,-
CRCAM ALP.PROV.CCI,FR0000044323,FR0000044323,PAR,CRAP,8355 Banks,EUR,42.42,228,0.05,2009/12/11 13:44,9684,"778,475","33,022,910",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,42.4,43,2009/12/11 9:40,42.4,2009/12/11 9:00,-23.71,62,2009/3/11,42.33,2007/12/11,-25.34,62,2009/3/11,42.33,2007/12/11,"=LIEN_HYPERTEXTE(""http://www.ca-alpesprovence.fr"";""http://www.ca-alpesprovence.fr"")",-,-,8000 Financials,8300 Banks,8350 Banks,Yes,No,-,-
CRCAM ATL.VEND.CCI,FR0000185506,FR0000185506,PAR,CRAV,8355 Banks,EUR,54.01,327,0.6,2009/12/11 16:30,17568,"1,339,425","72,342,344",Compartment C (Small Caps),French zone  ,PEA eligible,Double call auction,53,54.01,2009/12/11 16:30,53,2009/12/11 11:30,-24.04,82.97,2010/3/11,51.25,1930/11/11,-26.01,82.97,2010/3/11,51.25,1930/11/11,"=LIEN_HYPERTEXTE(""http://www.ca-atlantique-vendee.fr"";""http://www.ca-atlantique-vendee.fr"")",-,-,8000 Financials,8300 Banks,8350 Banks,Yes,No,-,-
CRCAM BRIE PIC2CCI,FR0010483768,FR0010483768,PAR,CRBP2,8355 Banks,EUR,14.87,3915,-0.47,2009/12/11 17:35,58663,"16,908,614","251,431,090",Compartment B (Mid Caps),French zone  ,PEA eligible,Continuous,14.89,15.31,2009/12/11 17:10,14.8,2009/12/11 12:42,-15.27,20.29,2018/4/11,14.02,2004/10/11,-15.27,20.29,2018/4/11,14.02,2004/10/11,"=LIEN_HYPERTEXTE(""http://www.ca-briepicardie.fr"";""http://www.ca-briepicardie.fr"")",-,-,8000 Financials,8300 Banks,8350 Banks,Yes,No,-,-
CRCAM ILLE-VIL.CCI,FR0000045213,FR0000045213,PAR,CIV,8355 Banks,EUR,40.56,922,-0.15,2009/12/11 15:54,37868,"2,277,243","92,364,976",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,40.62,41.5,2009/12/11 14:22,40.51,2009/12/11 12:16,-21.17,58.8,2018/5/11,40.51,2009/12/11,-19.14,58.8,2018/5/11,40.51,2009/12/11,"=LIEN_HYPERTEXTE(""http://www.ca-illeetvilaine.fr"";""http://www.ca-illeetvilaine.fr"")",-,-,8000 Financials,8300 Banks,8350 Banks,Yes,No,-,-
CRCAM LANGUED CCI,FR0010461053,FR0010461053,PAR,CRLA,8355 Banks,EUR,33.1,550,1.22,2009/12/11 15:47,18142,"2,395,205","79,281,286",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,33.19,33.19,2009/12/11 9:00,32.62,2009/12/11 14:13,-11.05,43.5,2011/4/11,32,1930/11/11,-11.14,43.5,2011/4/11,32,1930/11/11,"=LIEN_HYPERTEXTE(""http://www.ca-languedoc.fr"";""http://www.ca-languedoc.fr"")",-,-,8000 Financials,8300 Banks,8350 Banks,Yes,No,-,-
CRCAM LOIRE HTE L.,FR0000045239,FR0000045239,PAR,CRLO,8355 Banks,EUR,34.2,26,-1.16,2009/12/11 14:55,890,"1,003,200","34,309,440",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,34.6,34.6,2009/12/11 9:00,34.2,2009/12/11 14:55,-20.47,51.2,2009/6/11,33.9,2007/12/11,-19.91,51.2,2009/6/11,33.9,2007/12/11,"=LIEN_HYPERTEXTE(""http://www.ca-loirehauteloire.fr"";""http://www.ca-loirehauteloire.fr"")",-,-,8000 Financials,8300 Banks,8350 Banks,Yes,No,-,-
CRCAM MORBIHAN CCI,FR0000045551,FR0000045551,PAR,CMO,8355 Banks,EUR,34.5,432,-0.32,2009/12/11 17:13,14886,"1,731,618","59,740,821",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,34.62,35,2009/12/11 12:04,34.2,2009/12/11 10:10,-26.28,54.2,2011/5/11,33.2,1930/11/11,-26.89,54.2,2011/5/11,33.2,1930/11/11,"=LIEN_HYPERTEXTE(""http://www.ca-morbihan.fr"";""http://www.ca-morbihan.fr"")",-,-,8000 Financials,8300 Banks,8350 Banks,Yes,No,-,-
CRCAM NORD CCI,FR0000185514,FR0000185514,PAR,CNF,8355 Banks,EUR,13.65,4458,0.44,2009/12/11 15:41,60588,"17,109,818","233,549,016",Compartment B (Mid Caps),French zone  ,PEA eligible,Continuous,13.59,13.65,2009/12/11 10:35,13.55,2009/12/11 15:31,-27.16,22.35,2001/3/11,12.45,2024/11/11,-26.42,22.35,2001/3/11,12.45,2024/11/11,"=LIEN_HYPERTEXTE(""http://www.ca-norddefrance.fr"";""http://www.ca-norddefrance.fr"")",-,-,8000 Financials,8300 Banks,8350 Banks,Yes,No,-,-
CRCAM NORM.SEINE,FR0000044364,FR0000044364,PAR,CCN,8355 Banks,EUR,57,465,0.37,2009/12/11 16:13,26379,"1,053,618","60,056,226",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,56.8,57,2009/12/11 14:06,56,2009/12/11 15:26,-17.25,80.52,2011/4/11,54.01,2024/11/11,-18.34,80.52,2011/4/11,54.01,2024/11/11,"=LIEN_HYPERTEXTE(""http://www.ca-normandie-seine.fr"";""http://www.ca-normandie-seine.fr"")",-,-,8000 Financials,8300 Banks,8350 Banks,Yes,No,-,-
CRCAM PARIS ET IDF,FR0000045528,FR0000045528,PAR,CAF,8355 Banks,EUR,46.6,702,-0.06,2009/12/11 17:35,32799,"8,814,987","410,778,394",Compartment B (Mid Caps),French zone  ,PEA eligible,Continuous,46.64,47,2009/12/11 10:58,46.6,2009/12/11 17:35,-12.24,66.95,2021/2/11,43.5,2004/10/11,-12.09,66.95,2021/2/11,43.5,2004/10/11,"=LIEN_HYPERTEXTE(""http://www.ca-paris.fr"";""http://www.ca-paris.fr"")",-,-,8000 Financials,8300 Banks,8350 Banks,Yes,No,-,-
CRCAM SUD R.A.CCI,FR0000045346,FR0000045346,PAR,CRSU,8355 Banks,EUR,87.11,443,-1.44,2009/12/11 16:47,38590,"825,000","71,865,750",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,87.1,87.12,2009/12/11 16:11,87.1,2009/12/11 9:00,-16.08,123.8,2019/5/11,85,2024/11/11,-15.43,123.8,2019/5/11,85,2024/11/11,"=LIEN_HYPERTEXTE(""http://www.ca-sudrhonealpes.fr"";""http://www.ca-sudrhonealpes.fr"")",François Guillebert,-,8000 Financials,8300 Banks,8350 Banks,Yes,No,-,-
CRCAM TOURAINE CCI,FR0000045304,FR0000045304,PAR,CRTO,8355 Banks,EUR,42.41,211,-0.91,2009/12/11 16:41,8977,"1,221,556","51,806,190",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,42.8,43,2009/12/11 9:37,42.41,2009/12/11 10:03,-20.57,60.9,2010/2/11,41.62,2027/9/11,-19.83,60.9,2010/2/11,41.62,2027/9/11,"=LIEN_HYPERTEXTE(""http://www.ca-tourainepoitou.fr"";""http://www.ca-tourainepoitou.fr"")",-,-,8000 Financials,8300 Banks,8350 Banks,Yes,No,-,-
CREDIT AGRICOLE,FR0000045072,FR0000045072,PAR,ACA,8355 Banks,EUR,4.795,9410277,4.12,2009/12/11 17:38,44229960,"2,498,020,537","11,978,008,475",Compartment A (Large Caps),French zone  ,SRD and PEA eligible,Continuous,4.55,4.86,2009/12/11 16:06,4.4,2009/12/11 9:03,-49.55,12.92,2028/2/11,3.98,2023/11/11,-52.97,12.92,2028/2/11,3.98,2023/11/11,"=LIEN_HYPERTEXTE(""http://www.credit-agricole-sa.fr"";""http://www.credit-agricole-sa.fr"")",investor relations,+33 1 43 23 04 31,8000 Financials,8300 Banks,8350 Banks,Yes,Yes,-,-
CROSSWOOD,FR0000050395,FR0000050395,PAR,DEQN,8633 Real Estate Holding & Development,EUR,4.07,35,0.25,2007/12/11 16:30,142,"10,632,960","43,276,147",Compartment C (Small Caps),French zone  ,PEA eligible,Double call auction,4.07,4.07,2007/12/11 16:30,4.07,2007/12/11 16:30,85,4.19,2004/10/11,2.07,2002/2/11,46.4,4.19,2004/10/11,2,2028/12/10,"=LIEN_HYPERTEXTE(""http://www.crosswood.fr"";""http://www.crosswood.fr"")",-,-,8000 Financials,8600 Real Estate,8630 Real Estate Investment & Services,Yes,No,-,-
CS (COMM.SYSTEMES),FR0007317813,FR0007317813,PAR,SX,9533 Computer Services,EUR,2.8,7258,8.53,2009/12/11 15:45,19016,"6,306,554","17,658,351",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,2.57,2.8,2009/12/11 15:45,2.55,2009/12/11 9:37,-51.3,6.17,2006/1/11,2.25,1930/11/11,-48.15,6.17,2006/1/11,2.25,1930/11/11,"=LIEN_HYPERTEXTE(""http://www.c-s.fr"";""http://www.c-s.fr"")",Barbara Goarant,141284444,9000 Technology,9500 Technology,9530 Software & Computer Services,Yes,No,-,-
CSCOM BS11A,FR0010325019,FR0010325019,PAR,SXBRA,9533 Computer Services,EUR,0.21,3,-56.25,2012/10/10 9:04,1,"164,993","34,649",null,French zone  ,PEA eligible,Continuous,0.21,0.21,2012/10/10 9:04,0.21,2012/10/10 9:04,0,0.21,2012/10/10 9:04,0,-,-8.7,0.48,2024/11/9,0.21,2012/10/10,-,-,-,9000 Technology,9500 Technology,9530 Software & Computer Services,Yes,No,Halted,2009/12/11
CSCOM BS13B,FR0010325035,FR0010325035,PAR,SXBRB,9533 Computer Services,EUR,0.239,1425,-31.71,2009/11/11 17:05,341,"164,993","39,433",null,French zone  ,PEA eligible,Continuous,0.239,0.239,2009/11/11 17:05,0.239,2009/11/11 17:05,696.67,0.9,2023/2/11,0.001,2017/1/11,696.67,0.9,2023/2/11,0,2017/1/11,-,-,-,9000 Technology,9500 Technology,9530 Software & Computer Services,Yes,No,Halted,2009/12/11
