Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brussels - Euronext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Instrument's name,ISIN,Euronext code,Market,Symbol,ICB Sector (Level 4),Trading currency,Last,Volume,D/D-1 (%),Date - time (CET),Turnover,Total number of shares,Capitalisation,Compartment,Investment zone,Eligibility,Trading mode,Day First,Day High,Day High / Date - time (CET),Day Low,Day Low / Date - time (CET), 31-12/Change (%), 31-12/High, 31-12/High/Date, 31-12/Low, 31-12/Low/Date, 52 weeks/Change (%), 52 weeks/High, 52 weeks/High/Date, 52 weeks/Low, 52 weeks/Low/Date,Website,Investor relation contact,Phone number,ICB Sector (Level 1),ICB Sector (Level 2),ICB Sector (Level 3),Personal equity saving plan eligibility,Deferred Settlement Service,Halted,Halted / Date - time (CET)
OMEGA PHARMA,BE0003785020,BE0003785020,BRU,OME,4577 Pharmaceuticals,EUR,35.21,14446,0.66,2009-12-11 17:35,508492,"24,260,368","854,207,557",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,34.99,35.35,2009-12-11 10:02,34.99,2009-12-11 9:00,-1.92,39.5,2003-2-11,28.105,2009-8-11,2.65,39.5,2003-2-11,28.11,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.omega-pharma.be"";""http://www.omega-pharma.be"")",Marieke Vermeersch,+32 9 381 0331,4000 HealthCare,4500 Health Care,4570 Pharmaceuticals & Biotechnology,Yes,No,-,-
OPTION (D),BE0003836534,BE0003836534,BRU,OPTI,9578 Telecommunications Equipment,EUR,0.32,64731,0,2009-12-11 17:35,20629,"82,498,592","26,399,549",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,0.32,0.32,2009-12-11 9:00,0.31,2009-12-11 14:33,-44.83,0.66,1931-1-11,0.27,2025-11-11,-44.83,0.66,1931-1-11,0.27,2025-11-11,"=LIEN_HYPERTEXTE(""http://www.option.com"";""http://www.option.com"")",John P. Ziegler,+32 16 317 411,9000 Technology,9500 Technology,9570 Technology Hardware & Equipment,Yes,No,-,-
ORCOBSAAR1219,XS0290764728,XS0290764728,BRU,ORCOW,8633 Real Estate Holding & Development,EUR,4.2,1000,6.33,1930-11-11 17:35,3936,"2,871,021","12,058,288",null,Euro zone  ,PEA eligible,Continuous,3.6,4.2,1930-11-11 17:35,3.6,1930-11-11 16:57,5,7.95,2029-4-11,3.16,2029-8-11,40,7.95,2029-4-11,2.95,1930-11-10,-,-,-,8000 Financials,8600 Real Estate,8630 Real Estate Investment & Services,Yes,No,Halted,2009-12-11
PAYTON PLANAR,IL0010830391,IL0010830391,BRU,PAY,2733 Electrical Components & Equipment,EUR,0.8,200,0,2009-12-11 11:30,160,"17,670,775","14,136,620",Compartment C (Small Caps),International zone (out of Euro)  ,,Double call auction,0.8,0.8,2009-12-11 11:30,0.8,2009-12-11 11:30,-57.89,1.92,2008-2-11,0.76,2002-12-11,-58.33,1.92,2008-2-11,0.76,2002-12-11,"=LIEN_HYPERTEXTE(""http://www.paytongroup.com"";""http://www.paytongroup.com"")",Alexandra Niehe ,00-32 2 713 07 14,2000 Industrials,2700 Industrial Goods & Services,2730 Electronical & Electrical Equipment,No,No,-,-
PCB,BE0003503118,BE0003503118,BRU,PCBB,5333 Drug Retailers,EUR,3.8,547,0,2008-12-11 11:30,2079,"5,596,520","21,266,776",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,3.8,3.8,2008-12-11 11:30,3.8,2008-12-11 11:30,-5,4.79,2028-4-11,3,2010-10-11,-10.59,4.79,2028-4-11,3,2010-10-11,"=LIEN_HYPERTEXTE(""http://www.pcb.be"";""http://www.pcb.be"")",-,-,5000 Consumer Services,5300 Retail,5330 Food & Drug Retailers,Yes,No,-,-
PFIZER CERT,BE0004536745,BE0004536745,BRU,PFEB,4577 Pharmaceuticals,EUR,15.02,9299,-0.92,2009-12-11 17:19,139013,"8,247,351","123,875,212",null,International zone (out of Euro)  ,,Continuous,14.63,15.15,2009-12-11 16:41,14.63,2009-12-11 9:00,15.98,15.16,2008-12-11,11.23,2009-8-11,21.52,15.16,2008-12-11,11.23,2009-8-11,-,-,-,4000 HealthCare,4500 Health Care,4570 Pharmaceuticals & Biotechnology,No,No,-,-
PICANOL,BE0003807246,BE0003807246,BRU,PIC,2757 Industrial Machinery,EUR,10.2,3125,2,2009-12-11 15:42,31050,"17,700,000","180,540,000",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,9.92,10.35,2009-12-11 10:16,9.87,2009-12-11 15:01,-4.58,11.74,2004-3-11,7.41,2008-8-11,-4.67,11.74,2004-3-11,7.41,2008-8-11,"=LIEN_HYPERTEXTE(""http://www.picanolgroup.com"";""http://www.picanolgroup.com"")",Frederic Dryhoel,+32 (0)57 222 364,2000 Industrials,2700 Industrial Goods & Services,2750 Industrial Engineering,Yes,No,-,-
PICANOL ST VVPR(D),BE0005631057,BE0005631057,BRU,PICS,2757 Industrial Machinery,EUR,0.001,200,0,2014-10-11 15:00,0,"11,800,000","11,800",null,Belgium zone  ,,Call auction,0.001,0.001,2014-10-11 15:00,0.001,2014-10-11 15:00,0,0.02,2021-9-11,0.001,2003-10-11,0,0.02,2021-9-11,0,2003-10-11,-,-,-,2000 Industrials,2700 Industrial Goods & Services,2750 Industrial Engineering,No,No,-,-
PINGUINLUT STRVVPR,BE0005618898,BE0005618898,BRU,PINS,3577 Food Products,EUR,0.17,558,-62.22,2013-10-11 15:00,95,"4,894,546","832,073",null,Belgium zone  ,,Call auction,0.17,0.17,2013-10-11 15:00,0.17,2013-10-11 15:00,13.33,0.46,2013-4-11,0.15,2022-7-11,-45.16,0.46,2013-4-11,0.15,2022-7-11,-,-,-,3000 ConsumerGoods,3500 Food & Beverage,3570 Food Producers,No,No,-,-
PINGUINLUTOSA,BE0003765790,BE0003765790,BRU,PIN,3577 Food Products,EUR,7.51,2256,-0.92,2009-12-11 17:35,17083,"11,570,631","86,895,439",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,7.59,7.59,2009-12-11 9:00,7.51,2009-12-11 17:00,-22.34,10.45,2025-3-11,7.4,2008-12-11,-19.25,10.45,2025-3-11,7.4,2008-12-11,"=LIEN_HYPERTEXTE(""http://www.pinguin.be"";""http://www.pinguin.be"")",Steven D'haene,51788200,3000 ConsumerGoods,3500 Food & Beverage,3570 Food Producers,Yes,No,-,-
PUNCH I STVVPR (D),BE0005635090,BE0005635090,BRU,PUNS,2757 Industrial Machinery,EUR,0.001,20800,0,2007-11-11 15:00,21,"9,522,644","9,523",Compartment C (Small Caps),Belgium zone  ,,Call auction,0.001,0.001,2007-11-11 15:00,0.001,2007-11-11 15:00,-50,0.002,2028-6-11,0.001,2006-9-11,0,0,2028-6-11,0,2006-9-11,-,-,-,2000 Industrials,2700 Industrial Goods & Services,2750 Industrial Engineering,No,No,-,-
PUNCH INT.,BE0003748622,BE0003748622,BRU,PUN,2757 Industrial Machinery,EUR,3,4470,-3.22,2009-12-11 17:20,13378,"11,903,305","35,709,915",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,3.09,3.09,2009-12-11 9:00,2.96,2009-12-11 9:19,2.04,3.39,2024-5-11,2.22,2009-8-11,1.01,3.39,2024-5-11,2.22,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.punchinternational.com"";""http://www.punchinternational.com"")",Wim Maes,+32 3 443 19 26,2000 Industrials,2700 Industrial Goods & Services,2750 Industrial Engineering,Yes,No,-,-
QUESTFOR GR-PRICAF,BE0003730448,BE0003730448,BRU,QFG,8985 Equity Investment Instruments,EUR,4.96,6000,0,2009-12-11 17:26,29760,"11,528,950","57,183,592",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,4.96,4.96,2009-12-11 10:06,4.96,2009-12-11 10:06,-6.59,6.19,2009-5-11,4.51,2009-8-11,-7.12,6.19,2009-5-11,4.51,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.questforgrowth.com"";""http://www.questforgrowth.com"")",Quest for Growth,+32 (0)16284128,8000 Financials,8900 Equity/NonEquity Investment Instruments,8980 Equity Investment Instruments,Yes,No,-,-
REALDO STR 1/100TP,BE0005552238,BE0005552238,BRU,REAST,9537 Software,EUR,0.001,2,0,2009-12-11 15:00,0,"122,873,932","122,874",null,Belgium zone  ,,Call auction,0.001,0.001,2009-12-11 15:00,0.001,2009-12-11 15:00,0,0.001,2005-12-11,0.001,2005-12-11,0,0,2005-12-11,0,2005-12-11,-,-,-,9000 Technology,9500 Technology,9530 Software & Computer Services,No,No,-,-
REALDOLM 1/100 TMP,BE0003732469,BE0003732469,BRU,REAT,9537 Software,EUR,0.13,132,0,2009-12-11 15:00,17,"535,315,656","69,591,035",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Call auction,0.13,0.13,2009-12-11 15:00,0.13,2009-12-11 15:00,8.33,0.19,2005-10-11,0.07,2009-8-11,0,0.19,2005-10-11,0.07,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.realdolmen.be"";""http://www.realdolmen.be"")",Thierry de Vries,+32/3/290.23.11,9000 Technology,9500 Technology,9530 Software & Computer Services,Yes,No,-,-
REALDOLM STRIP (D),BE0005630042,BE0005630042,BRU,REAS,9537 Software,EUR,0.01,200,0,2021-11-11 15:00,2,"1,228,739","12,287",null,Belgium zone  ,,Call auction,0.01,0.01,2021-11-11 15:00,0.01,2021-11-11 15:00,0,0.016,2024-6-11,0.001,2004-11-11,400,0.02,2016-12-10,0,2004-11-11,-,-,-,9000 Technology,9500 Technology,9530 Software & Computer Services,No,No,Halted,2009-12-11
REALDOLMEN (D),BE0003899193,BE0003899193,BRU,REA,9537 Software,EUR,17.01,1473,-1.9,2009-12-11 16:39,25209,"5,353,156","91,057,184",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,17.28,17.3,2009-12-11 11:14,17.01,2009-12-11 11:14,14.01,18.39,2027-10-11,12.5,2009-8-11,14.08,18.39,2027-10-11,12.5,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.realdolmen.be"";""http://www.realdolmen.be"")",-,-,9000 Technology,9500 Technology,9530 Software & Computer Services,Yes,No,-,-
RECTICEL,BE0003656676,BE0003656676,BRU,REC,1357 Specialty Chemicals,EUR,4.16,12163,2.21,2009-12-11 17:35,50300,"28,931,456","120,354,857",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,4.07,4.18,2009-12-11 13:32,4.05,2009-12-11 9:08,-47.54,8.2,2004-1-11,3.78,2024-11-11,-43.78,8.2,2004-1-11,3.78,2024-11-11,"=LIEN_HYPERTEXTE(""http://www.recticel.com"";""http://www.recticel.com"")",De Smedt Michel,+32 (02) 775.18.09,1000 BasicMaterials,1300 Chemicals,1350 Chemicals,Yes,No,-,-
RECTICEL STRIP (D),BE0005639134,BE0005639134,BRU,RECS,1357 Specialty Chemicals,EUR,0.26,350,4,2005-12-11 15:00,91,"432,315","112,402",null,Belgium zone  ,,Call auction,0.26,0.26,2005-12-11 15:00,0.26,2005-12-11 15:00,4,1,2013-7-11,0.1,2005-1-11,-23.53,1,2013-7-11,0.1,2005-1-11,-,-,-,1000 BasicMaterials,1300 Chemicals,1350 Chemicals,No,No,-,-
RENTABILIWEB (D),BE0946620946,BE0946620946,BRU,BIL,9537 Software,EUR,5.8,4347,-0.85,2009-12-11 17:35,25464,"17,169,721","99,584,382",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,5.86,5.95,2009-12-11 9:05,5.72,2009-12-11 13:55,-42.29,10.9,1930-3-11,5,2016-11-11,-40.82,10.9,1930-3-11,5,2016-11-11,"=LIEN_HYPERTEXTE(""http://www.rentabiliweb.org"";""http://www.rentabiliweb.org"")",-,-,9000 Technology,9500 Technology,9530 Software & Computer Services,Yes,No,-,-
RESILUX,BE0003707214,BE0003707214,BRU,RES,2723 Containers & Packaging,EUR,51.89,250,-1.07,2009-12-11 16:55,12937,"1,980,410","102,763,475",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,51.57,52.1,2009-12-11 11:59,51.57,2009-12-11 9:00,-9.8,64.7,2028-4-11,47,2005-8-11,-9.62,64.7,2028-4-11,47,2005-8-11,"=LIEN_HYPERTEXTE(""http://www.resilux.com"";""http://www.resilux.com"")",Dirk De Cuyper,+32 9 365 74 74 ,2000 Industrials,2700 Industrial Goods & Services,2720 General Industrials,Yes,No,-,-
RETAIL EST.-SICAFI,BE0003720340,BE0003720340,BRU,RET,8672 Retail REITs,EUR,48.1,756,0.21,2009-12-11 16:46,36538,"5,395,408","259,519,125",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,48.1,48.88,2009-12-11 9:53,48.01,2009-12-11 14:47,4.57,52.5,2029-6-11,44.75,2012-1-11,3.33,52.5,2029-6-11,44.75,2012-1-11,"=LIEN_HYPERTEXTE(""http://www.retailestates.com"";""http://www.retailestates.com"")",Jan De Nys,02/568 10 20,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
RHJ INTERNATIONAL,BE0003815322,BE0003815322,BRU,RHJI,8775 Specialty Finance,EUR,3.26,75317,0.62,2009-12-11 17:35,243863,"85,545,547","278,878,483",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,3.22,3.27,2009-12-11 15:00,3.21,2009-12-11 10:22,-47.42,6.65,2007-2-11,2.82,2024-11-11,-41.79,6.65,2007-2-11,2.82,2024-11-11,"=LIEN_HYPERTEXTE(""http://www.rhji.com"";""http://www.rhji.com"")",Arnaud DENIS,+32/2 643 6010,8000 Financials,8700 Financial Services,8770 Financial Services,Yes,No,-,-
RIO TINTO CERT,BE0004559978,BE0004559978,BRU,RIOS,1775 General Mining,EUR,38.05,363,-2.68,2008-12-11 17:14,13878,"997,241,117","37,945,024,502",null,International zone (out of Euro)  ,PEA eligible,Continuous,39.1,39.1,2008-12-11 10:10,38.05,2008-12-11 17:14,-29.99,57,2015-2-11,31,2004-10-11,-29.37,57,2015-2-11,31,2004-10-11,-,-,-,1000 BasicMaterials,1700 Basic Resources,1770 Mining,Yes,No,-,-
ROSIER,BE0003575835,BE0003575835,BRU,ENGB,1357 Specialty Chemicals,EUR,255,8,0,2009-12-11 10:43,2040,"255,000","65,025,000",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,255,255,2009-12-11 10:43,255,2009-12-11 10:43,-16.39,333,2023-5-11,237,2025-11-11,-15,333,2023-5-11,237,2025-11-11,"=LIEN_HYPERTEXTE(""http://www.rosier.eu"";""http://www.rosier.eu"")",LEURS Didier,069/87.15.30,1000 BasicMaterials,1300 Chemicals,1350 Chemicals,Yes,No,-,-
ROULARTA,BE0003741551,BE0003741551,BRU,ROU,5557 Publishing,EUR,14.65,1311,-0.81,2009-12-11 17:35,19322,"13,141,123","192,517,452",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,14.76,14.8,2009-12-11 16:37,14.65,2009-12-11 16:37,-43,29.79,2013-5-11,12.5,2022-11-11,-43.55,29.79,2013-5-11,12.5,2022-11-11,"=LIEN_HYPERTEXTE(""http://www.roularta.be"";""http://www.roularta.be"")",Rik De Nolf,+32 51 266 323,5000 Consumer Services,5500 Media,5550 Media,Yes,No,-,-
ROULARTA STRIP,BE0005546172,BE0005546172,BRU,ROUS,5557 Publishing,EUR,0.003,27914,0,2002-12-11 15:00,84,"4,730,246","14,191",null,Belgium zone  ,,Call auction,0.003,0.003,2002-12-11 15:00,0.003,2002-12-11 15:00,-66.67,0.01,2026-5-11,0.001,2029-11-11,50,0.01,2026-5-11,0,2029-11-11,-,-,-,5000 Consumer Services,5500 Media,5550 Media,No,No,-,-
RTL GROUP,LU0061462528,LU0061462528,BRU,RTL,5553 Broadcasting & Entertainment,EUR,72.8,4177,0.76,2009-12-11 17:35,304042,"154,787,554","11,268,533,931",Compartment A (Large Caps),Euro zone  ,PEA eligible,Continuous,72.26,73.9,2009-12-11 10:08,72.05,2009-12-11 9:05,-5.08,77.24,2003-1-11,54.71,2009-8-11,10.27,77.24,2003-1-11,54.71,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.rtlgroup.com"";""http://www.rtlgroup.com"")",-,-,5000 Consumer Services,5500 Media,5550 Media,Yes,No,-,-
SABCA (D),BE0003654655,BE0003654655,BRU,SAB,2713 Aerospace,EUR,23,50,4.54,1930-11-11 16:30,1150,"2,400,000","55,200,000",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,23,23,1930-11-11 16:30,23,1930-11-11 16:30,-17.89,30,2024-5-11,22,2028-11-11,-16.06,30,2024-5-11,22,2028-11-11,"=LIEN_HYPERTEXTE(""http://www.sabca.com"";""http://www.sabca.com"")",-,-,2000 Industrials,2700 Industrial Goods & Services,2710 Aerospace & Defense,Yes,No,-,-
SAINT GOBAIN,FR0000125007,FR0000125007,PAR,SGO,2353 Building Materials & Fixtures,EUR,30.775,2577473,3.76,2009-12-11 17:35,78650009,"535,562,126","16,481,924,428",Compartment A (Large Caps),French zone  ,SRD and PEA eligible,Continuous,29.38,31.04,2009-12-11 16:10,29.265,2009-12-11 9:00,-20.06,47.64,2028-4-11,26.07,2023-9-11,-20.29,47.64,2028-4-11,26.07,2023-9-11,"=LIEN_HYPERTEXTE(""http://www.saint-gobain.com"";""http://www.saint-gobain.com"")",-,-,2000 Industrials,2300 Construction & Materials,2350 Construction & Materials,Yes,Yes,-,-
SAPEC,BE0003625366,BE0003625366,BRU,SAP,3573 Farming & Fishing,EUR,41.52,277,3.16,2009-12-11 16:56,11389,"1,355,000","56,259,600",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,41.1,41.52,2009-12-11 16:56,41,2009-12-11 9:17,-17.13,58.2,2017-2-11,39.11,2028-11-11,-17.13,58.2,2017-2-11,39.11,2028-11-11,"=LIEN_HYPERTEXTE(""http://www.sapec.be"";""http://www.sapec.be"")",Antoine Velge,00351/213222775,3000 ConsumerGoods,3500 Food & Beverage,3570 Food Producers,Yes,No,-,-
SAPEC STRIP,BE0005533048,BE0005533048,BRU,SAPS,3573 Farming & Fishing,EUR,1,148,0,2004-11-11 15:00,148,"22,682","22,682",null,Belgium zone  ,,Call auction,1,1,2004-11-11 15:00,1,2004-11-11 15:00,-66.22,9.644,2002-6-11,0.79,2003-1-11,23.46,9.64,2002-6-11,0.79,2003-1-11,-,-,-,3000 ConsumerGoods,3500 Food & Beverage,3570 Food Producers,No,No,-,-
SCHEERD.V KERCHOVE,BE0012378593,BE0012378593,BRU,SCHD,2353 Building Materials & Fixtures,EUR,480,3,-6.98,2009-12-11 16:30,1440,"40,000","19,200,000",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,480,480,2009-12-11 16:30,480,2009-12-11 16:30,-17.24,580.1,2023-5-11,480,2009-12-11,-17.24,580.1,2023-5-11,480,2009-12-11,"=LIEN_HYPERTEXTE(""http://www.svk.be"";""http://www.svk.be"")",-,-,2000 Industrials,2300 Construction & Materials,2350 Construction & Materials,Yes,No,-,-
SERVICEFLATS CERT,BE0003677888,BE0003677888,BRU,SER,8673 Residential REITs,EUR,11650.02,5,-0.04,2001-12-11 16:30,58250,"10,060","117,199,201",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,11650.01,11650.02,2001-12-11 16:30,11650.01,2001-12-11 11:30,5.98,11998,2018-2-11,10855.01,2007-1-11,6.88,11998,2018-2-11,10765,2013-12-10,"=LIEN_HYPERTEXTE(""http://www.sfi.be"";""http://www.sfi.be"")",Serviceflats Invest,03/222.94.94,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
SIOEN,BE0003743573,BE0003743573,BRU,SIOE,3763 Clothing & Accessories,EUR,5.33,1836,1.52,2009-12-11 17:36,9717,"21,391,070","114,014,403",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,5.3,5.33,2009-12-11 12:08,5.25,2009-12-11 11:08,-27.78,7.95,2007-1-11,4.69,2013-9-11,-16.06,7.95,2007-1-11,4.69,2013-9-11,"=LIEN_HYPERTEXTE(""http://www.sioen.com"";""http://www.sioen.com"")",Geert Asselman,051/74 09 80,3000 ConsumerGoods,3700 Personal,3760 Personal Goods,Yes,No,-,-
SIPEF (D),BE0003898187,BE0003898187,BRU,SIP,3573 Farming & Fishing,EUR,58.96,3454,0.79,2009-12-11 17:29,202984,"8,951,740","527,794,590",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,58,59.6,2009-12-11 11:28,58,2009-12-11 9:00,-16.96,75.78,2005-1-11,49.01,2005-8-11,-9.26,75.78,2005-1-11,49.01,2005-8-11,"=LIEN_HYPERTEXTE(""http://www.sipef.be"";""http://www.sipef.be"")",-,-,3000 ConsumerGoods,3500 Food & Beverage,3570 Food Producers,Yes,No,-,-
SIPEF STRIP (D),BE0005629036,BE0005629036,BRU,SIPS,3573 Farming & Fishing,EUR,0.02,250,0,2009-12-11 15:00,5,"4,211,800","84,236",null,Belgium zone  ,,Call auction,0.02,0.02,2009-12-11 15:00,0.02,2009-12-11 15:00,-75.31,0.24,2029-6-11,0.001,2027-10-11,-77.78,0.24,2029-6-11,0,2027-10-11,-,-,-,3000 ConsumerGoods,3500 Food & Beverage,3570 Food Producers,No,No,-,-
SOFINA,BE0003717312,BE0003717312,BRU,SOF,8775 Specialty Finance,EUR,60.29,30845,-0.3,2009-12-11 17:35,1869956,"35,500,000","2,140,295,000",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,60.09,61.1,2009-12-11 13:39,60.09,2009-12-11 9:00,-12.36,72.89,2020-5-11,56.69,2023-9-11,-11.92,72.89,2020-5-11,56.69,2023-9-11,"=LIEN_HYPERTEXTE(""http://www.sofina.be"";""http://www.sofina.be"")",-,-,8000 Financials,8700 Financial Services,8770 Financial Services,Yes,No,-,-
SOFTIMAT,BE0003773877,BE0003773877,BRU,SOFT,9533 Computer Services,EUR,3.97,5086,-3.87,2009-12-11 15:50,20593,"6,638,802","26,356,044",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,4.01,4.05,2009-12-11 11:40,3.97,2009-12-11 15:50,-30.59,5.85,2015-3-11,3.66,2028-9-11,-25.09,5.85,2015-3-11,3.66,2028-9-11,"=LIEN_HYPERTEXTE(""http://www.systemat.com"";""http://www.systemat.com"")",Maryse Gits,+32 2 352 83 86,9000 Technology,9500 Technology,9530 Software & Computer Services,Yes,No,-,-
SOLVAC NOM(RETAIL),BE0003545531,BE0003545531,BRU,SOLV,1357 Specialty Chemicals,EUR,82.3,814,0.24,2009-12-11 16:30,67298,"15,300,527","1,259,233,372",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Double call auction,83.26,83.26,2009-12-11 11:30,82.3,2009-12-11 16:30,-13.36,119.06,2010-5-11,79,2022-11-11,-11.03,119.06,2010-5-11,79,2022-11-11,"=LIEN_HYPERTEXTE(""http://www.solvac.be"";""http://www.solvac.be"")",-,-,1000 BasicMaterials,1300 Chemicals,1350 Chemicals,Yes,No,-,-
SOLVAC STRIP,BE0005612834,BE0005612834,BRU,SOLVS,1357 Specialty Chemicals,EUR,0.001,213,0,2008-12-11 15:00,0,"7,780,577","7,781",null,Belgium zone  ,,Call auction,0.001,0.001,2008-12-11 15:00,0.001,2008-12-11 15:00,-98.72,0.075,2019-1-11,0.001,2001-12-11,-50,0.08,2017-12-10,0,2001-12-11,-,-,-,1000 BasicMaterials,1300 Chemicals,1350 Chemicals,No,No,-,-
SOLVAY,BE0003470755,BE0003470755,BRU,SOLB,1357 Specialty Chemicals,EUR,64.33,190873,0.39,2009-12-11 17:36,12256743,"84,701,133","5,448,823,886",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,63.68,65.59,2009-12-11 13:23,63.25,2009-12-11 9:04,-19.34,112.5,2007-7-11,62.25,2004-10-11,-17.18,112.5,2007-7-11,62.25,2004-10-11,"=LIEN_HYPERTEXTE(""http://www.solvay.com"";""http://www.solvay.com"")",Solvay Investor Relations,32/2/509.60.16,1000 BasicMaterials,1300 Chemicals,1350 Chemicals,Yes,No,-,-
SPADEL,BE0003798155,BE0003798155,BRU,SPA,3537 Soft Drinks,EUR,55,25,0,2001-12-11 11:30,1375,"4,150,350","228,269,250",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Double call auction,55,55,2001-12-11 11:30,55,2001-12-11 11:30,2.52,59.99,2025-1-11,51.54,2005-1-11,5.53,59.99,2025-1-11,50,2013-12-10,"=LIEN_HYPERTEXTE(""http://www.spadel.com"";""http://www.spadel.com"")",-,-,3000 ConsumerGoods,3500 Food & Beverage,3530 Beverages,Yes,No,-,-
SPECTOR,BE0003663748,BE0003663748,BRU,SPEC,3745 Recreational Products,EUR,0.35,7381,-2.78,2009-12-11 13:56,2593,"36,619,505","12,816,827",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,0.36,0.36,2009-12-11 9:00,0.35,2009-12-11 12:03,-44.44,0.86,2010-5-11,0.34,2008-12-11,-46.97,0.86,2010-5-11,0.34,2008-12-11,"=LIEN_HYPERTEXTE(""http://www.spectorphotogroup.com"";""http://www.spectorphotogroup.com"")",Tonny Van Doorslaer,+32 9 365 98 10,3000 ConsumerGoods,3700 Personal,3740 Leisure Goods,Yes,No,-,-
SPECTOR STRIP,BE0005518866,BE0005518866,BRU,SPES,3745 Recreational Products,EUR,0.001,5000,0,2019-7-11 15:00,5,"31,874,597","31,875",null,Belgium zone  ,,Call auction,0.001,0.001,2019-7-11 15:00,0.001,2019-7-11 15:00,0,0.001,2010-6-11,0.001,2010-6-11,-50,0.01,2016-9-10,0,2010-6-11,-,-,-,3000 ConsumerGoods,3700 Personal,3740 Leisure Goods,No,No,-,-
SUCRAF A & B,BE0003463685,BE0003463685,BRU,SUCR,3577 Food Products,EUR,4.3,2550,55.23,2005-12-11 11:30,10965,"440,000","1,892,000",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,4.3,4.3,2005-12-11 11:30,4.3,2005-12-11 11:30,-22.1,14,2025-3-11,2.5,2020-9-11,-22.1,14,2025-3-11,2.5,2020-9-11,"=LIEN_HYPERTEXTE(""http://www.sucraf.be"";""http://www.sucraf.be"")",-,-,3000 ConsumerGoods,3500 Food & Beverage,3570 Food Producers,Yes,No,-,-
SUEZ ENVIRONNEMENT,FR0010613471,FR0010613471,PAR,SEV,7577 Water ,EUR,9.092,1438042,3.67,2009-12-11 17:35,12957473,"508,707,791","4,625,171,236",Compartment A (Large Caps),French zone  ,SRD and PEA eligible,Continuous,8.75,9.092,2009-12-11 17:35,8.71,2009-12-11 9:00,-41.15,15.995,2015-2-11,8.71,2009-12-11,-37.58,16,2015-2-11,8.71,2009-12-11,"=LIEN_HYPERTEXTE(""http://www.suez-environnement.fr"";""http://www.suez-environnement.fr"")",-,-,7000 Utilities,7500 Utilities,"7570 Gas, Water & Multiutilities",Yes,Yes,-,-
TELENET GROUP,BE0003826436,BE0003826436,BRU,TNET,5553 Broadcasting & Entertainment,EUR,27.9,141448,1.82,2009-12-11 17:35,3930133,"113,341,537","3,162,228,882",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,27.3,28,2009-12-11 12:52,27.22,2009-12-11 9:04,-5.36,34.2,2002-5-11,22.49,2008-8-11,-6.98,34.2,2002-5-11,22.49,2008-8-11,"=LIEN_HYPERTEXTE(""http://www.telenet.be"";""http://www.telenet.be"")",Vincent Bruyneel,+ 32 15 33 56 96,5000 Consumer Services,5500 Media,5550 Media,Yes,No,-,-
